1;34
2;43
3;15
4;13
5;2
6;35
7;46
8;15
9;4
10;15
11;50
12;83
13;67
14;68
15;35
16;84
17;52
18;55
19;89
20;84
21;54
22;41
23;38
24;5
25;3
26;60
27;66
28;47
29;85
30;73
31;22
32;60
33;50
34;37
35;41
36;87
37;89
38;68
39;67
40;62
41;62
42;63
43;40
44;63
45;59
46;66
47;28
48;31
49;55
50;7
51;12
52;48
53;57
54;8
55;16
56;28
57;72
58;58
59;6
60;54
61;58
62;54
63;57
64;7
65;9
66;14
67;31
68;29
69;11
70;1
71;23
72;19
73;33
74;4
75;2
76;83
77;70
78;47
79;30
80;15
81;76
82;87
83;26
84;7
85;32
86;60
87;58
88;67
89;34
90;52
91;95
92;63
93;38
94;60
95;7
96;9
97;53
98;87
99;62
100;76
101;54
102;62
103;69
104;47
105;69
106;61
107;74
108;30
109;47
110;76
111;56
112;22
113;44
114;71
115;73
116;84
117;56
118;62
119;58
120;26
121;89
122;58
123;87
124;31
125;55
126;10
127;6
128;80
129;65
130;53
131;48
132;47
133;37
134;23
135;71
136;64
137;64
138;9
139;14
140;53
141;46
142;7
143;7
144;76
145;46
146;47
147;13
148;15
149;52
150;56
151;17
152;13
153;56
154;67
155;39
156;50
157;62
158;6
159;70
160;25
161;32
162;47
163;21
164;21
165;53
166;47
167;41
168;67
169;26
170;62
171;10
172;18
173;62
174;23
175;58
176;49
177;7
178;18
179;62
180;65
181;78
182;70
183;46
184;88
185;70
186;31
187;32
188;3
189;43
190;37
191;6
192;5
193;25
194;25
195;21
196;41
197;45
198;1
199;11
200;53
201;33
202;38
203;15
204;8
205;58
206;53
207;40
208;27
209;4
210;2
211;49
212;89
213;37
214;6
215;34
216;62
217;46
218;76
219;70
220;48
221;84
222;25
223;26
224;32
225;1
226;0
227;15
228;4
229;50
230;66
231;56
232;65
233;71
234;30
235;35
236;38
237;9
238;11
239;15
240;72
241;71
242;24
243;35
244;15
245;4
246;26
247;55
248;58
249;56
250;46
251;7
252;7
253;36
254;86
255;56
256;88
257;94
258;30
259;63
260;18
261;12
262;28
263;64
264;14
265;6
266;51
267;46
268;17
269;11
270;60
271;21
272;27
273;79
274;74
275;58
276;34
277;11
278;56
279;50
280;37
281;6
282;14
283;49
284;47
285;56
286;94
287;73
288;21
289;30
290;11
291;94
292;19
293;52
294;22
295;32
296;30
297;0
298;23
299;36
300;2
301;14
302;10
303;91
304;64
305;72
306;49
307;34
308;58
309;15
310;57
311;31
312;44
313;10
314;15
315;62
316;44
317;6
318;65
319;50
320;83
321;54
322;72
323;55
324;12
325;20
326;22
327;57
328;45
329;7
330;14
331;66
332;75
333;45
334;30
335;2
336;58
337;65
338;41
339;20
340;0
341;30
342;70
343;35
344;47
