,region,age,type of kindergarten,contents,year,value
0,Halden,0 years,Municipal,Children,2019,4
1,Halden,0 years,County authorities/Government,Children,2019,0
2,Halden,0 years,Private,Children,2019,22
3,Halden,1 year,Municipal,Children,2019,32
4,Halden,1 year,County authorities/Government,Children,2019,0
5,Halden,1 year,Private,Children,2019,160
6,Halden,2 years,Municipal,Children,2019,54
7,Halden,2 years,County authorities/Government,Children,2019,0
8,Halden,2 years,Private,Children,2019,240
9,Halden,3 years,Municipal,Children,2019,58
10,Halden,3 years,County authorities/Government,Children,2019,0
11,Halden,3 years,Private,Children,2019,256
12,Halden,4 years,Municipal,Children,2019,55
13,Halden,4 years,County authorities/Government,Children,2019,0
14,Halden,4 years,Private,Children,2019,253
15,Halden,5 years,Municipal,Children,2019,51
16,Halden,5 years,County authorities/Government,Children,2019,0
17,Halden,5 years,Private,Children,2019,264
18,Halden,6 years,Municipal,Children,2019,1
19,Halden,6 years,County authorities/Government,Children,2019,0
20,Halden,6 years,Private,Children,2019,0
21,Halden,Unknown age,Municipal,Children,2019,0
22,Halden,Unknown age,County authorities/Government,Children,2019,0
23,Halden,Unknown age,Private,Children,2019,0
24,Moss,0 years,Municipal,Children,2019,8
25,Moss,0 years,County authorities/Government,Children,2019,0
26,Moss,0 years,Private,Children,2019,17
27,Moss,1 year,Municipal,Children,2019,99
28,Moss,1 year,County authorities/Government,Children,2019,0
29,Moss,1 year,Private,Children,2019,214
30,Moss,2 years,Municipal,Children,2019,133
31,Moss,2 years,County authorities/Government,Children,2019,0
32,Moss,2 years,Private,Children,2019,274
33,Moss,3 years,Municipal,Children,2019,179
34,Moss,3 years,County authorities/Government,Children,2019,0
35,Moss,3 years,Private,Children,2019,271
36,Moss,4 years,Municipal,Children,2019,198
37,Moss,4 years,County authorities/Government,Children,2019,0
38,Moss,4 years,Private,Children,2019,323
39,Moss,5 years,Municipal,Children,2019,191
40,Moss,5 years,County authorities/Government,Children,2019,0
41,Moss,5 years,Private,Children,2019,303
42,Moss,6 years,Municipal,Children,2019,1
43,Moss,6 years,County authorities/Government,Children,2019,0
44,Moss,6 years,Private,Children,2019,1
45,Moss,Unknown age,Municipal,Children,2019,0
46,Moss,Unknown age,County authorities/Government,Children,2019,0
47,Moss,Unknown age,Private,Children,2019,0
48,Sarpsborg,0 years,Municipal,Children,2019,7
49,Sarpsborg,0 years,County authorities/Government,Children,2019,0
50,Sarpsborg,0 years,Private,Children,2019,34
51,Sarpsborg,1 year,Municipal,Children,2019,96
52,Sarpsborg,1 year,County authorities/Government,Children,2019,0
53,Sarpsborg,1 year,Private,Children,2019,271
54,Sarpsborg,2 years,Municipal,Children,2019,147
55,Sarpsborg,2 years,County authorities/Government,Children,2019,0
56,Sarpsborg,2 years,Private,Children,2019,398
57,Sarpsborg,3 years,Municipal,Children,2019,173
58,Sarpsborg,3 years,County authorities/Government,Children,2019,0
59,Sarpsborg,3 years,Private,Children,2019,412
60,Sarpsborg,4 years,Municipal,Children,2019,154
61,Sarpsborg,4 years,County authorities/Government,Children,2019,0
62,Sarpsborg,4 years,Private,Children,2019,460
63,Sarpsborg,5 years,Municipal,Children,2019,172
64,Sarpsborg,5 years,County authorities/Government,Children,2019,0
65,Sarpsborg,5 years,Private,Children,2019,429
66,Sarpsborg,6 years,Municipal,Children,2019,0
67,Sarpsborg,6 years,County authorities/Government,Children,2019,0
68,Sarpsborg,6 years,Private,Children,2019,1
