,age_mean,age_std,pop
Halden,42.0,23.6,30587
Moss,41.7,23.4,31242
Sarpsborg,40.5,23.4,53820
Fredrikstad,40.7,23.2,78956
Hvaler,46.9,22.9,4350
Aremark,45.0,23.1,1265
Marker,45.4,24.3,3522
Skiptvet,39.2,22.8,3559
Rakkestad,42.2,23.8,7757
Råde,41.0,23.8,7216
Vestby,37.8,22.9,17428
Ski,40.0,23.0,99861
Ås,39.8,23.1,46253
Frogn,42.5,23.0,14895
Nesodden,38.4,22.6,18502
Bærum,38.1,23.1,122554
Asker,38.5,23.1,58302
Aurskog-Høland,40.6,23.1,15981
Rælingen,36.6,22.2,17677
Enebakk,37.4,22.3,10412
Lørenskog,38.1,22.4,38150
Nittedal,37.1,22.4,22864
Gjerdrum,38.3,22.1,6434
Ullensaker,36.6,21.9,37493
Eidsvoll,38.3,22.6,24095
Nannestad,37.2,22.1,13185
Hurdal,41.5,23.9,2811
Oslo,37.1,21.6,698637
Kongsvinger,44.2,23.5,17183
Hamar,42.3,23.6,32378
Ringsaker,41.3,23.5,33333
Løten,41.2,23.4,7243
Stange,40.9,23.7,20180
Nord-odal,44.6,23.6,4820
Sør-odal,43.1,23.2,7678
Eidskog,46.8,23.7,5846
Grue,47.8,23.1,4494
Åsnes,46.0,23.6,6914
Elverum,40.7,23.5,21022
Trysil,45.3,23.7,6229
Åmot,43.7,23.4,4429
Stor-Elvdal,47.9,23.6,2399
Rendalen,48.0,23.8,1661
Engerdal,46.7,23.0,1155
Tolga,44.0,23.6,1304
Tynset,41.5,23.7,5054
Alvdal,40.9,23.9,2194
Folldal,47.5,24.0,1426
Lillehammer,42.2,23.5,28686
Gjøvik,41.2,23.6,30972
Dovre,46.1,24.2,2399
Lesja,46.2,23.5,1691
Skjåk,45.6,23.4,2053
Lom,44.8,24.0,2134
Vågå,43.4,24.1,3348
Nord-Fron,44.1,23.4,5216
Sel,42.3,23.8,28100
Sør-Fron,43.1,24.1,2948
Ringebu,45.0,24.2,4242
Øyer,40.9,23.9,4896
Gausdal,43.4,23.6,5665
Østre_Toten,42.1,23.4,14488
Vestre_Toten,42.1,23.7,13193
Jevnaker,41.2,23.3,6470
Lunner,40.4,22.7,8621
Gran,42.8,23.4,15200
Søndre_Land,43.5,23.5,5475
Nordre_Land,43.7,23.4,6163
Sør-Aurdal,45.3,24.0,2727
Etnedal,45.6,24.2,1179
Nord-Aurdal,43.2,23.5,6189
Vestre_Slidre,44.0,23.3,2026
Øystre_Slidre,42.6,23.1,2955
Drammen,39.7,23.0,66656
Kongsberg,40.5,23.4,26991
Ringerike,42.6,23.5,29514
Hole,40.1,23.4,6442
Flå,43.9,23.9,1030
Gol,42.2,23.4,4401
Hemsedal,40.4,23.3,2216
Hol,41.0,23.2,26537
Sigdal,44.5,23.9,3477
Krødsherad,42.1,23.8,2075
Modum,41.9,23.8,13502
Øvre_Eiker,39.7,23.1,18423
Lier,38.7,22.8,26392
Flesberg,43.0,23.2,2483
Rollag,44.6,24.3,1283
Nore_og_Uvdal,44.8,24.1,2266
Horten,41.2,23.3,26776
Tønsberg,40.4,23.2,44357
Sandefjord,40.3,23.4,60390
Larvik,41.8,23.5,45822
Holmestrand,41.0,23.2,13885
Færder,41.8,23.8,25343
Porsgrunn,41.2,23.3,35330
Skien,40.8,23.3,52070
Notodden,42.2,24.4,12723
Siljan,40.6,23.7,2317
Bamble,42.3,23.6,13312
Kragerø,44.1,23.3,9818
Drangedal,41.9,23.8,3807
Nome,43.2,23.8,6157
Tinn,44.2,23.7,5599
Hjartdal,42.9,23.9,1409
Seljord,43.1,23.4,2759
Kviteseid,44.4,23.7,2293
Nissedal,41.2,23.8,1395
Fyresdal,43.6,23.4,1197
Tokke,44.1,23.5,2047
Vinje,43.2,23.7,3488
Risør,44.6,23.8,6377
Grimstad,38.9,22.8,22873
Arendal,40.5,23.3,42950
Gjerstad,42.7,23.3,2288
Vegårshei,40.3,23.1,1888
Tvedestrand,43.1,23.4,5713
Froland,37.4,22.3,5496
Lillesand,39.6,23.2,10062
Birkenes,37.5,22.8,4748
Åmli,40.3,23.9,1758
Iveland,37.5,23.1,1246
Evje_og_Hornnes,39.8,23.5,3360
Bygland,42.9,23.4,1105
Valle,43.9,23.3,1074
Bykle,38.0,22.2,931
Kristiansand,38.4,22.8,91490
Farsund,40.6,23.5,8861
Flekkefjord,40.9,24.0,8547
Vennesla,38.1,23.2,13901
Åseral,39.4,23.1,829
Lindesnes,40.2,23.3,4637
Lyngdal,38.1,23.1,7962
Hægebostad,38.9,23.5,1538
Kvinesdal,40.6,23.7,5672
Sirdal,40.1,23.9,1633
Eigersund,39.9,23.5,13880
Sandnes,36.0,22.2,74098
Stavanger,37.7,22.3,130976
Haugesund,39.3,22.8,36463
Sokndal,40.6,24.2,3085
Lund,41.1,24.2,3599
Bjerkreim,37.5,23.4,2597
Hå,36.7,23.0,17682
Klepp,36.3,22.4,18127
Time,37.0,22.9,17531
Gjesdal,34.8,21.9,11231
Sola,36.1,22.3,25405
Randaberg,36.7,22.9,10340
Strand,40.2,23.3,36949
Hjelmeland,41.5,24.5,2437
Suldal,41.5,24.3,3550
Sauda,43.6,24.6,4248
Kvitsøy,42.2,24.1,503
Bokn,43.4,24.9,784
Tysvær,37.3,23.1,10171
Karmøy,38.4,23.0,39568
Utsira,38.9,23.1,210
Vindafjord,39.5,23.8,8066
Bergen,38.9,22.7,287384
Etne,40.9,24.1,5049
Sveio,38.8,23.4,5367
Bømlo,38.5,23.3,10989
Stord,38.9,23.1,18395
Fitjar,39.5,23.1,2831
Tysnes,43.7,24.5,2638
Kvinnherad,41.9,24.1,12211
Ullensvang,44.7,24.2,2888
Eidfjord,42.9,23.4,885
Ulvik,44.1,24.0,938
Voss,41.2,23.9,13282
Kvam,42.2,24.6,7812
Samnanger,41.3,24.1,2293
Austevoll,38.1,23.4,4698
Fjell,36.8,22.4,25693
Askøy,35.7,22.4,27619
Vaksdal,42.9,24.8,3716
Modalen,38.3,21.8,320
Osterøy,39.2,23.6,7431
Meland,37.6,23.1,10079
Øygarden,38.1,23.2,4431
Austrheim,40.5,23.6,2724
Fedje,43.9,24.0,507
Masfjorden,42.3,25.0,1539
Gulen,41.5,24.3,2159
Solund,44.2,24.1,779
Hyllestad,44.1,24.0,1228
Høyanger,43.2,24.4,3750
Sogndal,39.6,22.6,9023
Aurland,41.9,22.8,1593
Lærdal,42.0,23.9,2058
Årdal,43.9,23.5,4824
Luster,41.5,24.2,4657
Askvoll,43.3,24.7,2719
Fjaler,42.1,23.8,2437
Bremanger,44.0,24.5,3346
Gloppen,42.5,24.5,5136
Stryn,41.2,24.1,6328
Molde,40.8,23.6,26315
Ålesund,39.0,22.9,47112
Kristiansund,41.2,23.4,23547
Vanylven,47.7,24.5,2811
Herøy,41.7,23.8,9985
Ulstein,38.2,23.0,8047
Hareid,38.6,23.5,4952
Volda,41.6,23.7,9503
Ørsta,41.2,24.1,9957
Stranda,42.5,24.6,4244
Sykkylven,41.5,23.9,7031
Sula,37.7,23.7,8688
Giske,36.8,23.5,7906
Vestnes,42.7,24.0,6153
Rauma,42.8,24.3,6994
Aukra,38.7,23.6,3383
Averøy,41.3,23.7,5603
Gjemnes,41.0,24.1,2536
Tingvoll,45.3,23.7,2729
Sunndal,42.9,23.9,6407
Surnadal,42.8,23.7,5388
Smøla,43.5,24.6,2130
Aure,44.5,24.6,3366
Bodø,38.9,22.6,51634
Bindal,46.5,24.8,1339
Sømna,44.2,23.6,1824
Brønnøy,41.0,23.5,7493
Vega,45.1,24.5,1200
Vevelstad,45.5,25.3,443
Leirfjord,40.0,24.1,2207
Vefsn,41.8,24.1,12934
Grane,45.5,24.4,1336
Hattfjelldal,46.0,24.2,1161
Dønna,46.5,23.8,1249
Nesna,42.2,23.8,1690
Hemnes,43.5,24.5,4185
Rana,40.9,23.8,25577
Lurøy,43.5,24.7,1803
Træna,38.7,22.5,462
Rødøy,43.0,24.4,1099
Meløy,42.6,24.2,5863
Gildeskål,45.0,24.7,1907
Beiarn,49.8,23.3,918
Saltdal,43.4,23.8,4365
Fauske,42.1,23.7,9347
Sørfold,43.1,24.3,1918
Steigen,45.9,24.0,2370
Lødingen,46.4,24.7,2056
Tjeldsund,48.1,24.0,1200
Evenes,46.4,24.6,1301
Røst,47.4,23.5,471
Værøy,42.0,23.8,754
Flakstad,46.2,23.9,1154
Vestvågøy,40.2,23.5,10661
Vågan,41.3,23.3,8927
Hadsel,42.8,23.9,7714
Bø,39.5,23.2,26004
Øksnes,42.7,23.6,4215
Sortland,39.7,23.5,10143
Andøy,44.0,24.2,5676
Moskenes,46.8,23.8,985
Tromsø,38.1,21.9,79003
Harstad,40.8,23.4,24411
Kvæfjord,42.6,23.2,2636
Ibestad,49.0,24.1,1308
Gratangen,45.0,23.8,1028
Lavangen,45.9,24.6,899
